type,entry_price,entry_time,entry_strike,entry_btc,entry_rsi,entry_bin,entry_seconds_remaining,entry_rsi_upper,entry_rsi_lower,exit_price,exit_time,exit_btc,pnl,exit_reason,expired_itm,date,distance_bin,time_bin,volatility_bin,win,hour,entry_price_bin,rsi_bin
CALL,0.35,2026-01-01 04:16:58,87612.41,87564.4,2.3952095809708567,40-80|15m-13m|30-40,782,65,5,0.37,2026-01-01 04:17:57,,0.020000000000000018,RSI_SIGNAL,,2026-01-01,40-80,15m-13m,30-40,True,4,0.3-0.4,0-10
PUT,0.63,2026-01-01 04:17:57,87612.41,87573.4,96.42058165528755,20-40|13m-11m|60-90,723,70,5,0.76,2026-01-01 04:19:06,,0.13,RSI_SIGNAL,,2026-01-01,20-40,13m-11m,60-90,True,4,0.6-0.7,90-100
CALL,0.24,2026-01-01 04:19:06,87612.41,87554.1,3.398058252151145,40-80|11m-10m|10-20,654,80,5,0.13,2026-01-01 04:20:19,,-0.10999999999999999,RSI_SIGNAL,,2026-01-01,40-80,11m-10m,10-20,False,4,0.2-0.3,0-10
PUT,0.87,2026-01-01 04:20:19,87612.41,87536.1,88.79999999977555,40-80|10m-9m|20-30,581,85,5,0.82,2026-01-01 04:23:34,,-0.050000000000000044,RSI_SIGNAL,,2026-01-01,40-80,10m-9m,20-30,False,4,0.8-0.9,80-90
CALL,0.18,2026-01-01 04:23:34,87612.41,87567.1,3.619909502457901,40-80|7m-6m|20-30,386,95,5,0.41,2026-01-01 04:24:14,,0.22999999999999998,RSI_SIGNAL,,2026-01-01,40-80,7m-6m,20-30,True,4,0.1-0.2,0-10
PUT,0.59,2026-01-01 04:24:14,87612.41,87595.0,97.93814432978142,10-20|6m-5m|20-30,346,95,5,0.8,2026-01-01 04:25:30,,0.21000000000000008,RSI_SIGNAL,,2026-01-01,10-20,6m-5m,20-30,True,4,0.5-0.6,90-100
CALL,0.2,2026-01-01 04:25:30,87612.41,87588.8,4.800000000251458,20-40|5m-4m|20-30,270,95,5,0.0,2026-01-01 04:30:00,87594.1,-0.2,EXPIRATION,False,2026-01-01,20-40,5m-4m,20-30,False,4,0.1-0.2,0-10
CALL,0.66,2026-01-01 04:31:23,87594.1,87618.6,2.3437499999138396,20-40|15m-13m|30-40,817,95,5,0.46,2026-01-01 04:35:38,,-0.2,RSI_SIGNAL,,2026-01-01,20-40,15m-13m,30-40,False,4,0.6-0.7,0-10
PUT,0.54,2026-01-01 04:35:38,87594.1,87587.9,97.5124378108754,5-10|10m-9m|10-20,562,95,5,0.6,2026-01-01 04:36:05,,0.05999999999999994,RSI_SIGNAL,,2026-01-01,5-10,10m-9m,10-20,True,4,0.5-0.6,90-100
CALL,0.4,2026-01-01 04:36:05,87594.1,87576.3,3.9682539684693694,10-20|9m-8m|10-20,535,95,5,0.26,2026-01-01 04:37:49,,-0.14,RSI_SIGNAL,,2026-01-01,10-20,9m-8m,10-20,False,4,0.3-0.4,0-10
PUT,0.74,2026-01-01 04:37:49,87594.1,87559.5,95.23809523784446,20-40|8m-7m|10-20,431,95,5,0.78,2026-01-01 04:38:32,,0.040000000000000036,RSI_SIGNAL,,2026-01-01,20-40,8m-7m,10-20,True,4,0.7-0.8,90-100
CALL,0.22,2026-01-01 04:38:32,87594.1,87560.1,2.5477707006906627,20-40|7m-6m|20-30,388,95,5,0.48,2026-01-01 04:39:18,,0.26,RSI_SIGNAL,,2026-01-01,20-40,7m-6m,20-30,True,4,0.2-0.3,0-10
PUT,0.52,2026-01-01 04:39:18,87594.1,87591.5,98.33887043180053,1-5|6m-5m|30-40,342,95,5,0.97,2026-01-01 04:43:43,,0.44999999999999996,RSI_SIGNAL,,2026-01-01,1-5,6m-5m,30-40,True,4,0.5-0.6,90-100
CALL,0.03,2026-01-01 04:43:43,87594.1,87560.0,3.7151702788386274,20-40|90s-60s|60-90,77,95,5,0.0,2026-01-01 04:45:00,87519.6,-0.03,EXPIRATION,False,2026-01-01,20-40,90s-60s,60-90,False,4,0.0-0.1,0-10
PUT,0.34,2026-01-01 04:45:49,87519.6,87545.9,97.24409448814566,20-40|15m-13m|30-40,851,95,5,0.23,2026-01-01 04:50:38,,-0.11000000000000001,RSI_SIGNAL,,2026-01-01,20-40,15m-13m,30-40,False,4,0.3-0.4,90-100
CALL,0.77,2026-01-01 04:50:38,87519.6,87561.1,3.2128514057443027,40-80|10m-9m|20-30,562,95,5,0.9,2026-01-01 04:54:59,,0.13,RSI_SIGNAL,,2026-01-01,40-80,10m-9m,20-30,True,4,0.7-0.8,0-10
PUT,0.1,2026-01-01 04:54:59,87519.6,87566.8,95.83333333311228,40-80|6m-5m|10-20,301,95,5,0.03,2026-01-01 04:55:40,,-0.07,RSI_SIGNAL,,2026-01-01,40-80,6m-5m,10-20,False,4,0.0-0.1,90-100
CALL,0.97,2026-01-01 04:55:40,87519.6,87568.1,2.830188679400692,40-80|5m-4m|20-30,260,95,5,0.98,2026-01-01 04:57:44,,0.010000000000000009,RSI_SIGNAL,,2026-01-01,40-80,5m-4m,20-30,True,4,0.9-1.0,0-10
PUT,0.39,2026-01-01 05:00:41,87555.8,87570.1,95.5414012740719,10-20|15m-13m|10-20,859,95,5,0.03,2026-01-01 05:05:48,,-0.36,RSI_SIGNAL,,2026-01-01,10-20,15m-13m,10-20,False,5,0.3-0.4,90-100
CALL,0.97,2026-01-01 05:05:48,87555.8,87633.0,25.000000000909495,40-80|10m-9m|0-10,552,95,30,0.97,2026-01-01 05:07:08,,0.0,RSI_SIGNAL,,2026-01-01,40-80,10m-9m,0-10,False,5,0.9-1.0,20-30
PUT,0.03,2026-01-01 05:07:08,87555.8,87641.1,95.52238805946808,80-160|8m-7m|0-10,472,95,40,0.01,2026-01-01 05:08:35,,-0.019999999999999997,RSI_SIGNAL,,2026-01-01,80-160,8m-7m,0-10,False,5,0.0-0.1,90-100
PUT,0.39,2026-01-01 05:15:35,87660.4,87672.6,96.21212121192077,10-20|15m-13m|10-20,865,95,45,0.39,2026-01-01 05:16:46,,0.0,RSI_SIGNAL,,2026-01-01,10-20,15m-13m,10-20,False,5,0.3-0.4,90-100
CALL,0.61,2026-01-01 05:16:46,87660.4,87680.5,25.531914893647325,20-40|15m-13m|30-40,794,95,45,0.7,2026-01-01 05:17:44,,0.08999999999999997,RSI_SIGNAL,,2026-01-01,20-40,15m-13m,30-40,True,5,0.6-0.7,20-30
PUT,0.3,2026-01-01 05:17:44,87660.4,87688.0,95.4022988504805,20-40|13m-11m|10-20,736,95,45,0.26,2026-01-01 05:19:04,,-0.03999999999999998,RSI_SIGNAL,,2026-01-01,20-40,13m-11m,10-20,False,5,0.2-0.3,90-100
CALL,0.74,2026-01-01 05:19:04,87660.4,87687.9,0.0,20-40|11m-10m|0-10,656,95,45,0.21,2026-01-01 05:26:41,,-0.53,RSI_SIGNAL,,2026-01-01,20-40,11m-10m,0-10,False,5,0.7-0.8,
PUT,0.79,2026-01-01 05:26:41,87660.4,87636.8,97.56097560962192,20-40|4m-3m|30-40,199,95,10,0.06,2026-01-01 05:28:52,,-0.73,RSI_SIGNAL,,2026-01-01,20-40,4m-3m,30-40,False,5,0.7-0.8,90-100
CALL,0.94,2026-01-01 05:28:52,87660.4,87674.1,3.636363636075018,10-20|90s-60s|10-20,68,95,5,1.0,2026-01-01 05:30:00,87666.9,0.06000000000000005,EXPIRATION,True,2026-01-01,10-20,90s-60s,10-20,True,5,0.9-1.0,0-10
PUT,0.5,2026-01-01 05:30:22,87672.88,87678.0,98.26086956512056,5-10|15m-13m|10-20,878,95,5,0.83,2026-01-01 05:30:44,,0.32999999999999996,RSI_SIGNAL,,2026-01-01,5-10,15m-13m,10-20,True,5,0.4-0.5,90-100
CALL,0.17,2026-01-01 05:30:44,87672.88,87605.9,3.3244680851420014,40-80|15m-13m|60-90,856,95,5,0.32,2026-01-01 05:32:05,,0.15,RSI_SIGNAL,,2026-01-01,40-80,15m-13m,60-90,True,5,0.1-0.2,0-10
PUT,0.68,2026-01-01 05:32:05,87672.88,87636.8,98.19004524876748,20-40|13m-11m|20-30,775,95,5,0.59,2026-01-01 05:36:28,,-0.09000000000000008,RSI_SIGNAL,,2026-01-01,20-40,13m-11m,20-30,False,5,0.6-0.7,90-100
CALL,0.41,2026-01-01 05:36:28,87672.88,87648.9,1.2195121951912,20-40|9m-8m|30-40,512,95,5,0.46,2026-01-01 05:37:24,,0.050000000000000044,RSI_SIGNAL,,2026-01-01,20-40,9m-8m,30-40,True,5,0.4-0.5,0-10
PUT,0.54,2026-01-01 05:37:24,87672.88,87658.6,97.05882352925231,10-20|8m-7m|30-40,456,95,5,0.68,2026-01-01 05:38:39,,0.14,RSI_SIGNAL,,2026-01-01,10-20,8m-7m,30-40,True,5,0.5-0.6,90-100
CALL,0.32,2026-01-01 05:38:39,87672.88,87652.9,4.8387096776692005,10-20|7m-6m|0-10,381,95,5,0.38,2026-01-01 05:41:14,,0.06,RSI_SIGNAL,,2026-01-01,10-20,7m-6m,0-10,True,5,0.3-0.4,0-10
PUT,0.62,2026-01-01 05:41:14,87672.88,87658.9,98.87005649711011,10-20|4m-3m|10-20,226,95,5,1.0,2026-01-01 05:45:00,87664.0,0.38,EXPIRATION,True,2026-01-01,10-20,4m-3m,10-20,True,5,0.6-0.7,90-100
PUT,0.39,2026-01-01 05:49:14,87664.0,87679.9,96.61016949134148,10-20|11m-10m|10-20,646,95,5,0.61,2026-01-01 05:49:54,,0.21999999999999997,RSI_SIGNAL,,2026-01-01,10-20,11m-10m,10-20,True,5,0.3-0.4,90-100
CALL,0.39,2026-01-01 05:49:54,87664.0,87659.6,2.347417840181535,1-5|11m-10m|20-30,606,95,5,0.58,2026-01-01 05:50:32,,0.18999999999999995,RSI_SIGNAL,,2026-01-01,1-5,11m-10m,20-30,True,5,0.3-0.4,0-10
PUT,0.42,2026-01-01 05:50:32,87664.0,87677.8,97.88359788370177,10-20|10m-9m|20-30,568,95,5,0.47,2026-01-01 05:51:30,,0.04999999999999999,RSI_SIGNAL,,2026-01-01,10-20,10m-9m,20-30,True,5,0.4-0.5,90-100
CALL,0.53,2026-01-01 05:51:30,87664.0,87668.6,1.063829787294992,1-5|9m-8m|0-10,510,95,5,0.77,2026-01-01 05:53:04,,0.24,RSI_SIGNAL,,2026-01-01,1-5,9m-8m,0-10,True,5,0.5-0.6,0-10
PUT,0.23,2026-01-01 05:53:04,87664.0,87691.9,98.3402489627949,20-40|7m-6m|20-30,416,95,5,0.5,2026-01-01 05:53:50,,0.27,RSI_SIGNAL,,2026-01-01,20-40,7m-6m,20-30,True,5,0.2-0.3,90-100
CALL,0.5,2026-01-01 05:53:50,87664.0,87668.7,3.2786885245432273,1-5|7m-6m|20-30,370,95,5,1.0,2026-01-01 06:00:00,87668.1,0.5,EXPIRATION,True,2026-01-01,1-5,7m-6m,20-30,True,5,0.4-0.5,0-10
CALL,0.41,2026-01-01 06:01:15,87668.1,87650.1,4.8076923079479315,10-20|15m-13m|10-20,825,95,5,0.27,2026-01-01 06:03:23,,-0.13999999999999996,RSI_SIGNAL,,2026-01-01,10-20,15m-13m,10-20,False,6,0.4-0.5,0-10
PUT,0.73,2026-01-01 06:03:23,87668.1,87633.6,95.03546099302345,20-40|13m-11m|30-40,697,85,10,0.78,2026-01-01 06:05:09,,0.050000000000000044,RSI_SIGNAL,,2026-01-01,20-40,13m-11m,30-40,True,6,0.7-0.8,90-100
CALL,0.22,2026-01-01 06:05:09,87668.1,87629.0,3.0303030304678344,20-40|10m-9m|0-10,591,75,10,0.01,2026-01-01 06:09:48,,-0.21,RSI_SIGNAL,,2026-01-01,20-40,10m-9m,0-10,False,6,0.2-0.3,0-10
PUT,0.96,2026-01-01 06:10:31,87668.1,87614.7,96.24999999979877,40-80|5m-4m|20-30,269,50,5,0.98,2026-01-01 06:11:07,,0.020000000000000018,RSI_SIGNAL,,2026-01-01,40-80,5m-4m,20-30,True,6,0.9-1.0,90-100
PUT,0.43,2026-01-01 06:15:20,87615.0,87619.8,92.85714285679019,1-5|15m-13m|10-20,880,60,5,0.34,2026-01-01 06:17:26,,-0.08999999999999997,RSI_SIGNAL,,2026-01-01,1-5,15m-13m,10-20,False,6,0.4-0.5,90-100
CALL,0.66,2026-01-01 06:17:26,87615.0,87627.3,0.0,10-20|13m-11m|0-10,754,70,5,0.56,2026-01-01 06:19:07,,-0.09999999999999998,RSI_SIGNAL,,2026-01-01,10-20,13m-11m,0-10,False,6,0.6-0.7,
PUT,0.44,2026-01-01 06:19:07,87615.0,87608.5,100.0,5-10|11m-10m|0-10,653,80,5,0.47,2026-01-01 06:26:52,,0.02999999999999997,RSI_SIGNAL,,2026-01-01,5-10,11m-10m,0-10,True,6,0.4-0.5,90-100
CALL,0.53,2026-01-01 06:26:52,87615.0,87608.6,1.9867549669984612,5-10|4m-3m|10-20,188,95,5,0.79,2026-01-01 06:27:33,,0.26,RSI_SIGNAL,,2026-01-01,5-10,4m-3m,10-20,True,6,0.5-0.6,0-10
PUT,0.21,2026-01-01 06:27:33,87615.0,87623.4,99.33333333329453,5-10|3m-2m|10-20,147,95,5,0.0,2026-01-01 06:30:00,87623.4,-0.21,EXPIRATION,False,2026-01-01,5-10,3m-2m,10-20,False,6,0.2-0.3,90-100
PUT,0.44,2026-01-01 06:31:26,87623.4,87629.1,95.31250000037303,5-10|15m-13m|0-10,814,95,5,0.25,2026-01-01 06:35:01,,-0.19,RSI_SIGNAL,,2026-01-01,5-10,15m-13m,0-10,False,6,0.4-0.5,90-100
CALL,0.75,2026-01-01 06:35:01,87623.4,87636.0,3.5087719297752926,10-20|10m-9m|10-20,599,95,5,0.66,2026-01-01 06:36:09,,-0.08999999999999997,RSI_SIGNAL,,2026-01-01,10-20,10m-9m,10-20,False,6,0.7-0.8,0-10
PUT,0.34,2026-01-01 06:36:09,87623.4,87628.6,100.0,5-10|9m-8m|0-10,531,95,5,0.32,2026-01-01 06:36:16,,-0.020000000000000018,RSI_SIGNAL,,2026-01-01,5-10,9m-8m,0-10,False,6,0.3-0.4,90-100
CALL,0.68,2026-01-01 06:36:16,87623.4,87628.5,0.0,5-10|9m-8m|0-10,524,95,5,0.78,2026-01-01 06:39:38,,0.09999999999999998,RSI_SIGNAL,,2026-01-01,5-10,9m-8m,0-10,True,6,0.6-0.7,
PUT,0.22,2026-01-01 06:39:38,87623.4,87625.7,100.0,1-5|6m-5m|0-10,322,95,5,0.2,2026-01-01 06:39:46,,-0.01999999999999999,RSI_SIGNAL,,2026-01-01,1-5,6m-5m,0-10,False,6,0.2-0.3,90-100
CALL,0.8,2026-01-01 06:39:46,87623.4,87625.6,0.0,1-5|6m-5m|0-10,314,95,5,0.83,2026-01-01 06:39:59,,0.029999999999999916,RSI_SIGNAL,,2026-01-01,1-5,6m-5m,0-10,True,6,0.7-0.8,
PUT,0.17,2026-01-01 06:39:59,87623.4,87629.0,97.14285714309473,5-10|6m-5m|0-10,301,95,5,0.06,2026-01-01 06:43:51,,-0.11000000000000001,RSI_SIGNAL,,2026-01-01,5-10,6m-5m,0-10,False,6,0.1-0.2,90-100
CALL,0.94,2026-01-01 06:43:51,87623.4,87632.4,4.545454545093762,5-10|90s-60s|0-10,69,95,5,1.0,2026-01-01 06:45:00,87629.0,0.06000000000000005,EXPIRATION,True,2026-01-01,5-10,90s-60s,0-10,True,6,0.9-1.0,0-10
PUT,0.45,2026-01-01 06:45:23,87629.0,87633.0,95.45454545430493,1-5|15m-13m|10-20,877,95,5,0.49,2026-01-01 06:46:06,,0.03999999999999998,RSI_SIGNAL,,2026-01-01,1-5,15m-13m,10-20,True,6,0.4-0.5,90-100
CALL,0.51,2026-01-01 06:46:06,87629.0,87627.1,3.418803418990521,1-5|15m-13m|10-20,834,95,5,0.44,2026-01-01 06:51:42,,-0.07,RSI_SIGNAL,,2026-01-01,1-5,15m-13m,10-20,False,6,0.5-0.6,0-10
PUT,0.56,2026-01-01 06:51:42,87629.0,87619.3,100.0,5-10|9m-8m|0-10,498,95,5,0.57,2026-01-01 06:56:00,,0.009999999999999898,RSI_SIGNAL,,2026-01-01,5-10,9m-8m,0-10,True,6,0.5-0.6,90-100
CALL,0.43,2026-01-01 06:56:00,87629.0,87626.3,0.0,1-5|5m-4m|10-20,240,95,5,0.06,2026-01-01 06:59:20,,-0.37,RSI_SIGNAL,,2026-01-01,1-5,5m-4m,10-20,False,6,0.4-0.5,
PUT,0.94,2026-01-01 06:59:20,87629.0,87611.5,100.0,10-20|60s-40s|10-20,40,95,5,1.0,2026-01-01 07:00:00,87611.4,0.06000000000000005,EXPIRATION,True,2026-01-01,10-20,60s-40s,10-20,True,6,0.9-1.0,90-100
PUT,0.41,2026-01-01 07:00:49,87616.36,87617.5,98.41269841261042,1-5|15m-13m|0-10,851,95,5,0.54,2026-01-01 07:03:05,,0.13000000000000006,RSI_SIGNAL,,2026-01-01,1-5,15m-13m,0-10,True,7,0.4-0.5,90-100
CALL,0.46,2026-01-01 07:03:05,87616.36,87611.5,2.247191011360883,1-5|13m-11m|0-10,715,80,20,0.52,2026-01-01 07:04:47,,0.06,RSI_SIGNAL,,2026-01-01,1-5,13m-11m,0-10,True,7,0.4-0.5,0-10
PUT,0.48,2026-01-01 07:04:47,87616.36,87612.4,83.33333333252489,1-5|11m-10m|0-10,613,75,25,0.32,2026-01-01 07:07:14,,-0.15999999999999998,RSI_SIGNAL,,2026-01-01,1-5,11m-10m,0-10,False,7,0.4-0.5,80-90
CALL,0.68,2026-01-01 07:07:14,87616.36,87627.3,39.99999999999999,10-20|8m-7m|0-10,466,70,40,0.71,2026-01-01 07:08:08,,0.029999999999999916,RSI_SIGNAL,,2026-01-01,10-20,8m-7m,0-10,True,7,0.6-0.7,30-40
PUT,0.29,2026-01-01 07:08:08,87616.36,87629.0,83.33333333434388,10-20|7m-6m|0-10,412,70,35,0.3,2026-01-01 07:09:22,,0.010000000000000009,RSI_SIGNAL,,2026-01-01,10-20,7m-6m,0-10,True,7,0.2-0.3,80-90
CALL,0.7,2026-01-01 07:09:22,87616.36,87629.5,3.669724770838158,10-20|6m-5m|10-20,338,70,30,0.04,2026-01-01 07:12:20,,-0.6599999999999999,RSI_SIGNAL,,2026-01-01,10-20,6m-5m,10-20,False,7,0.6-0.7,0-10
PUT,0.96,2026-01-01 07:12:20,87616.36,87580.5,96.24060150386141,20-40|3m-2m|60-90,160,70,15,0.98,2026-01-01 07:13:51,,0.020000000000000018,RSI_SIGNAL,,2026-01-01,20-40,3m-2m,60-90,True,7,0.9-1.0,90-100
PUT,0.96,2026-01-01 07:14:29,87616.36,87599.9,93.68421052598686,10-20|40s-30s|10-20,31,75,5,1.0,2026-01-01 07:15:00,87605.5,0.040000000000000036,EXPIRATION,True,2026-01-01,10-20,40s-30s,10-20,True,7,0.9-1.0,90-100
PUT,0.31,2026-01-01 07:15:20,87605.5,87622.0,98.82352941169825,10-20|15m-13m|30-40,880,80,5,0.37,2026-01-01 07:18:30,,0.06,RSI_SIGNAL,,2026-01-01,10-20,15m-13m,30-40,True,7,0.3-0.4,90-100
CALL,0.63,2026-01-01 07:18:30,87605.5,87612.9,3.2000000001713715,5-10|13m-11m|10-20,690,90,5,0.77,2026-01-01 07:19:46,,0.14,RSI_SIGNAL,,2026-01-01,5-10,13m-11m,10-20,True,7,0.6-0.7,0-10
PUT,0.23,2026-01-01 07:19:46,87605.5,87626.0,96.45390070950899,20-40|11m-10m|10-20,614,95,5,0.39,2026-01-01 07:20:33,,0.16,RSI_SIGNAL,,2026-01-01,20-40,11m-10m,10-20,True,7,0.2-0.3,90-100
CALL,0.61,2026-01-01 07:20:33,87605.5,87611.3,1.8987341771446609,5-10|10m-9m|10-20,567,95,5,0.75,2026-01-01 07:24:30,,0.14,RSI_SIGNAL,,2026-01-01,5-10,10m-9m,10-20,True,7,0.6-0.7,0-10
PUT,0.25,2026-01-01 07:24:30,87605.5,87620.4,95.08196721328683,10-20|6m-5m|0-10,330,95,5,0.36,2026-01-01 07:24:45,,0.10999999999999999,RSI_SIGNAL,,2026-01-01,10-20,6m-5m,0-10,True,7,0.2-0.3,90-100
CALL,0.64,2026-01-01 07:24:45,87605.5,87613.7,1.4492753621965875,5-10|6m-5m|0-10,315,95,5,0.43,2026-01-01 07:27:20,,-0.21000000000000002,RSI_SIGNAL,,2026-01-01,5-10,6m-5m,0-10,False,7,0.6-0.7,0-10
PUT,0.57,2026-01-01 07:27:20,87605.5,87595.4,96.66666666648558,10-20|3m-2m|30-40,160,95,5,1.0,2026-01-01 07:30:00,87561.0,0.43000000000000005,EXPIRATION,True,2026-01-01,10-20,3m-2m,30-40,True,7,0.5-0.6,90-100
PUT,0.22,2026-01-01 07:30:34,87564.24,87594.8,97.74011299430337,20-40|15m-13m|30-40,866,95,5,0.13,2026-01-01 07:36:36,,-0.09,RSI_SIGNAL,,2026-01-01,20-40,15m-13m,30-40,False,7,0.2-0.3,90-100
