timestamp,timestamp_ms,call_bid,call_ask,call_mid,put_bid,put_ask,put_mid,seconds_to_expiry
2026-02-02T14:45:00.039442,1770043500039,0.999000,1.000000,0.999500,0.000000,0.001000,0.000500,900.0
2026-02-02T14:45:01.039707,1770043501039,0.490000,0.500000,0.495000,0.500000,0.510000,0.505000,899.0
2026-02-02T14:45:02.040102,1770043502040,0.490000,0.500000,0.495000,0.500000,0.510000,0.505000,898.0
2026-02-02T14:45:03.040452,1770043503040,0.490000,0.500000,0.495000,0.500000,0.510000,0.505000,897.0
2026-02-02T14:45:04.040785,1770043504040,0.490000,0.500000,0.495000,0.500000,0.510000,0.505000,896.0
2026-02-02T14:45:05.041103,1770043505041,0.490000,0.500000,0.495000,0.500000,0.510000,0.505000,895.0
2026-02-02T14:45:06.041556,1770043506041,0.490000,0.500000,0.495000,0.500000,0.520000,0.510000,894.0
2026-02-02T14:45:07.041817,1770043507041,0.470000,0.480000,0.475000,0.520000,0.530000,0.525000,893.0
2026-02-02T14:45:08.042076,1770043508042,0.470000,0.480000,0.475000,0.520000,0.530000,0.525000,892.0
2026-02-02T14:45:09.042333,1770043509042,0.460000,0.470000,0.465000,0.530000,0.540000,0.535000,891.0
2026-02-02T14:45:10.042609,1770043510042,0.460000,0.470000,0.465000,0.530000,0.540000,0.535000,890.0
2026-02-02T14:45:11.042878,1770043511042,0.460000,0.470000,0.465000,0.530000,0.550000,0.540000,889.0
2026-02-02T14:45:12.043163,1770043512043,0.450000,0.460000,0.455000,0.540000,0.550000,0.545000,888.0
2026-02-02T14:45:13.043420,1770043513043,0.440000,0.450000,0.445000,0.550000,0.560000,0.555000,887.0
2026-02-02T14:45:14.043672,1770043514043,0.440000,0.450000,0.445000,0.550000,0.560000,0.555000,886.0
2026-02-02T14:45:15.043973,1770043515043,0.440000,0.450000,0.445000,0.550000,0.560000,0.555000,885.0
2026-02-02T14:45:16.044230,1770043516044,0.440000,0.450000,0.445000,0.550000,0.560000,0.555000,884.0
2026-02-02T14:45:17.044574,1770043517044,0.430000,0.440000,0.435000,0.560000,0.570000,0.565000,883.0
2026-02-02T14:45:18.044842,1770043518044,0.430000,0.440000,0.435000,0.570000,0.580000,0.575000,882.0
2026-02-02T14:45:19.045087,1770043519045,0.420000,0.430000,0.425000,0.570000,0.580000,0.575000,881.0
2026-02-02T14:45:20.045352,1770043520045,0.420000,0.430000,0.425000,0.570000,0.580000,0.575000,880.0
2026-02-02T14:45:21.045632,1770043521045,0.420000,0.430000,0.425000,0.570000,0.580000,0.575000,879.0
2026-02-02T14:45:22.045931,1770043522045,0.420000,0.430000,0.425000,0.570000,0.580000,0.575000,878.0
2026-02-02T14:45:23.046190,1770043523046,0.420000,0.430000,0.425000,0.570000,0.580000,0.575000,877.0
