hour,A,A2,B,B2,C,D_trend
2025-12-17 13:00:00,0.9799999999999999,-1.8999999999999997,-0.26000000000000023,1.1,1.7799999999999998,0.41999999999999993
2025-12-17 14:00:00,1.2999999999999998,0.7,-0.26000000000000023,1.1,3.2199999999999998,0.8199999999999998
2025-12-17 15:00:00,1.6199999999999999,1.02,-0.26000000000000023,1.1,3.92,0.8199999999999998
2025-12-17 16:00:00,2.02,-0.8599999999999997,0.1399999999999999,1.5000000000000002,3.6,0.8199999999999998
2025-12-17 17:00:00,2.5,-0.37999999999999967,1.02,2.3400000000000003,3.56,0.9999999999999999
2025-12-17 18:00:00,3.52,1.0400000000000005,3.1199999999999997,4.36,5.98,0.9999999999999999
2025-12-17 19:00:00,4.22,2.7200000000000006,2.6999999999999997,3.9400000000000004,5.58,0.9999999999999999
2025-12-17 20:00:00,5.76,4.260000000000001,4.3999999999999995,5.5200000000000005,7.4,0.9999999999999999
2025-12-17 21:00:00,1.7999999999999994,0.30000000000000027,-0.16000000000000014,1.38,1.5600000000000005,0.9999999999999999
2025-12-17 22:00:00,4.619999999999999,4.08,3.4399999999999995,4.779999999999999,7.54,0.9999999999999999
2025-12-17 23:00:00,5.799999999999999,7.140000000000001,5.959999999999999,7.059999999999999,10.52,0.9999999999999999
2025-12-18 00:00:00,3.9999999999999987,6.03,3.879999999999999,4.979999999999999,8.73,0.9999999999999999
2025-12-18 01:00:00,3.4799999999999986,4.4,3.529999999999999,4.5699999999999985,7.95,1.0999999999999999
2025-12-18 02:00:00,3.4799999999999986,5.23,3.529999999999999,4.5699999999999985,10.350000000000001,1.0999999999999999
2025-12-18 03:00:00,2.5099999999999985,4.8100000000000005,2.819999999999999,3.8599999999999985,9.700000000000001,1.0999999999999999
2025-12-18 04:00:00,1.9199999999999986,3.3000000000000007,2.279999999999999,3.3199999999999985,9.670000000000002,1.0999999999999999
2025-12-18 05:00:00,2.0999999999999988,4.920000000000001,2.689999999999999,3.7199999999999984,10.970000000000002,1.1999999999999997
2025-12-18 06:00:00,2.5199999999999987,4.570000000000001,2.539999999999999,3.5499999999999985,12.150000000000002,1.1999999999999997
2025-12-18 07:00:00,0.9199999999999986,3.9200000000000013,0.869999999999999,1.8799999999999983,10.990000000000002,1.1999999999999997
2025-12-18 08:00:00,0.8999999999999986,3.9000000000000012,0.7799999999999991,1.7599999999999985,11.030000000000001,1.1999999999999997
2025-12-18 09:00:00,-0.41000000000000125,2.2400000000000015,-0.7200000000000009,0.2299999999999982,9.660000000000002,1.1999999999999997
2025-12-18 10:00:00,0.1599999999999988,3.040000000000002,-0.33000000000000085,0.6199999999999982,10.720000000000002,1.1999999999999997
